,Compound,Negative,Neutral,Positive,Time Stamp,Tweet,Tweet_Ago,User
0,0.0,0.0,1.0,0.0,03-24-2018 05:18:00,French police 'hero' dies of wounds https://t.co/YSbuGpp1Ak,0,@BBCWorld
1,-0.4939,0.286,0.714,0.0,03-23-2018 16:14:43,Car bomb targets spectators at Afghanistan wrestling match https://t.co/rFwp2eal80,1,@BBCWorld
2,0.0,0.0,1.0,0.0,03-23-2018 03:49:46,"RT @BBCNewsAsia: South Korea has some of the longest working hours in the world.

So the local government in Seoul is introducing a new ini…",2,@BBCWorld
3,0.0,0.0,1.0,0.0,03-22-2018 19:15:59,Kenya payout for mother made to deliver on hospital floor https://t.co/PkFKaUlP46,3,@BBCWorld
4,-0.1531,0.167,0.833,0.0,03-22-2018 13:37:10,Miss Venezuela to close temporarily over corruption claims https://t.co/eMOQoeDbtc,4,@BBCWorld
5,0.7506,0.0,0.766,0.234,03-22-2018 05:58:17,RT @SallyBundockBBC: This is the maths teacher who became an online star - Eddie Woo. Did you have an inspirational teacher at school? Comm…,5,@BBCWorld
6,-0.6486,0.261,0.739,0.0,03-21-2018 18:46:52,"RT @BBCBreaking: Peru's President Pedro Pablo Kuczynski is to resign amid vote-buying scandal, government sources say https://t.co/E9UntpLq…",6,@BBCWorld
7,0.0,0.0,1.0,0.0,03-21-2018 10:16:54,Pope Francis to visit Ireland in August https://t.co/WuL0Ti0A6K,7,@BBCWorld
8,0.0,0.0,1.0,0.0,03-21-2018 01:53:53,Eastern Ghouta: A mother's diary of life under siege https://t.co/qmX7wPGAai,8,@BBCWorld
9,0.0,0.0,1.0,0.0,03-20-2018 17:33:39,Russia election: Trump congratulates Putin over victory https://t.co/nhamwsDDsJ,9,@BBCWorld
10,-0.34,0.202,0.674,0.124,03-20-2018 11:30:39,"The world's last surviving male northern white rhino has died in Kenya 🦏

https://t.co/8W5O168OAj https://t.co/4x2wlElttz",10,@BBCWorld
11,0.0,0.0,1.0,0.0,03-20-2018 01:39:49,President Trump bans deals in Venezuela's crypto-currency https://t.co/vGOCUI9C7B,11,@BBCWorld
12,0.5859,0.105,0.6,0.295,03-19-2018 16:23:29,"""Russia's response has demonstrated a disregard for international peace and security"" - @NATO Secretary General Jen… https://t.co/3bAP1pQ3qx",12,@BBCWorld
13,-0.8126,0.425,0.575,0.0,03-19-2018 07:56:14,"Video console death: US boy, 9, 'kills sister, 13, over controller' https://t.co/kMfhpCHtcu",13,@BBCWorld
14,-0.5994,0.358,0.642,0.0,03-18-2018 16:29:48,Mariam Moustafa death: Rome prosecutor opens investigation https://t.co/nZH844Myuv,14,@BBCWorld
15,-0.296,0.196,0.804,0.0,03-17-2018 20:23:05,Trump campaign data firm accused of harvesting Facebook data https://t.co/ahk5s9yfqG,15,@BBCWorld
16,-0.7717,0.251,0.749,0.0,03-17-2018 08:53:54,"RT @BBCEngland: Stephen Hawking's PhD thesis has been viewed 250,000 times online since news of his death broke on Wednesday, the Universit…",16,@BBCWorld
17,0.0,0.0,1.0,0.0,03-16-2018 18:05:22,"Have smaller weddings with less food, Uzbeks told https://t.co/h8DCeSDasL",17,@BBCWorld
18,0.128,0.185,0.596,0.219,03-16-2018 11:52:25,South African taxi team offers free rides to struggling elderly https://t.co/AUtp4JYxeC,18,@BBCWorld
19,0.0,0.0,1.0,0.0,03-16-2018 01:34:04,Africa's week in pictures: 9-15 March 2018 https://t.co/XfKNyfhgAj,19,@BBCWorld
20,0.0,0.0,1.0,0.0,03-15-2018 18:36:04,South Africa: Danish 'FGM' man gets life in jail https://t.co/1b07z79N5x,20,@BBCWorld
21,0.3182,0.0,0.723,0.277,03-15-2018 13:00:33,'Elsa' from Frozen rescues police van https://t.co/HDNKRDyuPz,21,@BBCWorld
22,0.0,0.0,1.0,0.0,03-15-2018 07:28:39,Review as plastic found in bottled water https://t.co/t5IWuOb0KW,22,@BBCWorld
23,0.4215,0.0,0.811,0.189,03-15-2018 00:49:13,From Syria to safety in Pakistan: 'We left children in Eastern Ghouta' https://t.co/IUMgdbiFA7,23,@BBCWorld
24,-0.8074,0.51,0.49,0.0,03-14-2018 17:15:11,"Bolivia police storm notorious jail, killing six inmates https://t.co/bqdQYrz2i5",24,@BBCWorld
25,0.0,0.0,1.0,0.0,03-14-2018 10:28:37,Sierra Leone election: Julius Maada Bio beats Samura Kamara in first round https://t.co/x0k10ukyst,25,@BBCWorld
26,0.0,0.0,1.0,0.0,03-14-2018 02:51:14,Test election held for Pennsylvania seat https://t.co/UN2e2KYUgQ,26,@BBCWorld
27,-0.5574,0.205,0.795,0.0,03-13-2018 19:47:23,"RT @BBCNorthAmerica: ⚡️ “How it happened: Rex Tillerson fired by Donald Trump” by @BBCNorthAmerica

https://t.co/qoxclg2hDS",27,@BBCWorld
28,-0.34,0.103,0.897,0.0,03-13-2018 16:06:37,"RT @BBCSport: ""My only aim was to protect.""

PAOK Salonika's president has explained why he invaded the pitch with a gun.

Read: https://t.…",28,@BBCWorld
29,-0.5994,0.262,0.738,0.0,03-13-2018 11:57:48,Dozens of students die as bus falls off cliff in Ethiopia https://t.co/FQRfHshpC1,29,@BBCWorld
30,0.0,0.0,1.0,0.0,03-13-2018 00:48:40,Vladimir Putin: What does the world think of Russia's president? https://t.co/M8NBcC94qf,30,@BBCWorld
31,-0.4939,0.132,0.868,0.0,03-12-2018 17:24:08,"RT @BBCBreaking: Former Russian spy &amp; his daughter poisoned in Salisbury by ""military grade nerve agent of a type developed by Russia"" - UK…",31,@BBCWorld
32,-0.3182,0.187,0.813,0.0,03-12-2018 10:37:34,Muscle loss in old age linked to fewer nerve signals https://t.co/Tz9gMF5VlY,32,@BBCWorld
33,0.0,0.0,1.0,0.0,03-12-2018 04:21:20,Thousands of farmers march to Mumbai https://t.co/38S1OCeRZe,33,@BBCWorld
34,0.3612,0.0,0.889,0.111,03-11-2018 12:30:36,"RT @BBCKarishma: ""The packed out rally looked and felt like the start of the presidential campaign....Trump announced that his 2020 re-elec…",34,@BBCWorld
35,-0.34,0.231,0.769,0.0,03-10-2018 16:08:39,Mount Shinmoedake: Warning over Japan's James Bond volcano https://t.co/2ujbRh7XEC,35,@BBCWorld
36,-0.5423,0.304,0.696,0.0,03-10-2018 05:43:40,California veterans' home becomes site of fatal shooting https://t.co/6bRwNYBrIz,36,@BBCWorld
37,0.0,0.0,1.0,0.0,03-09-2018 14:39:37,"Pitches, puns and parodies for Obamas for Netflix show https://t.co/mkqulg4hr8",37,@BBCWorld
38,0.2415,0.088,0.781,0.13,03-09-2018 07:19:21,"RT @BBCSport: Billie Jean King has said men should not play five-set matches at  Grand Slams.

Full story👇
https://t.co/4jeP2GsT6f https://…",38,@BBCWorld
39,-0.296,0.196,0.804,0.0,03-08-2018 22:32:31,California 14-year-old boy accused of posing as sheriff's deputy https://t.co/VvAxtuNTm9,39,@BBCWorld
40,-0.25,0.2,0.8,0.0,03-08-2018 14:11:26,Poland's Andrzej Duda remembers Jews expelled in 1968 https://t.co/stkAj350GX,40,@BBCWorld
41,0.6249,0.0,0.823,0.177,03-08-2018 08:37:51,"RT @SallyBundockBBC: #BBCBizLive is marking #IWD2018 with great guests and a female entrepreneur who makes ""foldable shoes"". Plus we are as…",41,@BBCWorld
42,0.0,0.0,1.0,0.0,03-08-2018 01:41:06,"RT @BBCNewsAsia: The Sri Lankan government says more troops have been deployed to the central district of Kandy, to try to end days of viol…",42,@BBCWorld
43,0.0,0.0,1.0,0.0,03-07-2018 13:35:46,Sergei Skripal and the 14 deaths under scrutiny https://t.co/KQKWhnZxYo,43,@BBCWorld
44,-0.5423,0.364,0.465,0.171,03-07-2018 04:53:14,US man admits murder of Indian migrant https://t.co/oYu9X8nMKY,44,@BBCWorld
45,0.0,0.0,1.0,0.0,03-06-2018 22:02:59,Trump tariffs: President says EU making business 'impossible' https://t.co/dt5xukZ1b7,45,@BBCWorld
46,0.3818,0.0,0.816,0.184,03-06-2018 14:58:12,"RT @BBC_HaveYourSay: RuPaul called the trans community “heroes of our shared LGBTQ movement” in his apology 🏳️‍🌈

https://t.co/do7V7kTGUQ",46,@BBCWorld
47,0.0,0.0,1.0,0.0,03-06-2018 08:49:06,The story of women's football in 10 objects https://t.co/lgTnzIASOH,47,@BBCWorld
48,0.0,0.0,1.0,0.0,03-06-2018 00:59:31,WeChat hits one billion monthly users - are you one of them? https://t.co/Qlygr0ZZNN,48,@BBCWorld
49,0.4588,0.0,0.786,0.214,03-05-2018 16:24:14,Oscars 2018: Four things to take away from this year's awards https://t.co/zrAqXIJCpk,49,@BBCWorld
